year,month,state_div,total
2018,January,Metro,570
2018,February,Metro,632
2018,March,Metro,714
2018,April,Metro,635
2018,May,Metro,660
2018,June,Metro,589
2018,July,Metro,619
2018,August,Metro,654
2018,September,Metro,528
2018,October,Metro,658
2018,November,Metro,600
2018,December,Metro,581
2018,January,Country,291
2018,February,Country,274
2018,March,Country,313
2018,April,Country,245
2018,May,Country,262
2018,June,Country,236
2018,July,Country,264
2018,August,Country,218
2018,September,Country,233
2018,October,Country,230
2018,November,Country,226
2018,December,Country,197